i,A,C,required_margin,required_argmin_y,stored_margin,stored_argmin_y,abs_margin_diff,abs_argmin_y_diff,num_check_points,d0,w0,pi0,d1,w1,pi1,d2,w2,pi2,d3,w3,pi3
0,1.817475,1.8172795089285714,0.0010639030557959561,2.6869529890931325,0.0010639030557959561,2.6869529891049835,0.0,1.1850964654058771e-11,5,1.8174751,2.2270102833143817,0,2.557935,0.0,0,2.675015475,0.0,0,2.787618432142857,0.29530085177434795,16
1,1.8172795089285714,1.8170840178571428,0.022327940419158754,2.8151820834723615,0.022327940419158754,2.8151820834719636,0.0,3.979039320256561e-13,5,1.8174751,14.910567527435068,1,2.557935,0.0,1,2.675015475,0.0,1,2.831408432142857,0.2482639961852091,241
2,1.8170840178571428,1.8168885267857142,0.02010823837579956,2.8140974637559255,0.020108238375799337,2.814097463756825,2.220446049250313e-16,8.992806499463768e-13,5,1.8174751,13.945984790705499,2,2.557935,0.0,2,2.675015475,0.0,2,2.831408432142857,0.2483882062574517,242
3,1.8168885267857142,1.8166930357142856,0.018042740267932844,2.813010343076968,0.018042740267932844,2.813010343077434,0.0,4.658495811327157e-13,5,1.8174751,13.10319917907001,3,2.557935,0.0,3,2.675015475,0.0,3,2.831408432142857,0.2486953447035085,243
4,1.8166930357142856,1.816497544642857,0.016108855672660738,2.811982058732214,0.016108855672660516,2.8119820587317386,2.220446049250313e-16,4.756195437494171e-13,5,1.8174751,12.398311608875352,4,2.557935,0.0,4,2.675015475,0.0,4,2.831408432142857,0.24909298798716592,244
5,1.816497544642857,1.8163020535714285,0.01428889897772967,2.810988643434582,0.01428889897772967,2.8109886434342224,0.0,3.597122599785507e-13,5,1.8174751,11.788859711443678,5,2.557935,0.0,5,2.675015475,0.0,5,2.831408432142857,0.24956195071173903,245
6,1.8163020535714285,1.8161065625,0.01256870954658229,2.8100014820556423,0.012568709546582069,2.810001482055718,2.220446049250313e-16,7.593925488436071e-14,5,1.8174751,11.242826608099557,6,2.557935,0.0,6,2.675015475,0.0,6,2.831408432142857,0.2501050100397023,246
7,1.8161065625,1.8159110714285713,0.010936749061218665,2.809023492914818,0.010936749061218665,2.8090234929149074,0.0,8.926193117986259e-14,5,1.8174751,10.75202090463028,7,2.557935,0.0,7,2.675015475,0.0,7,2.831408432142857,0.25070377381274317,247
8,1.8159110714285713,1.8157155803571428,0.00938350260869103,2.8080941641051016,0.00938350260869103,2.808094164105921,0.0,8.193445921733655e-13,5,1.8174751,10.325084829897108,8,2.557935,0.0,8,2.675015475,0.0,8,2.831408432142857,0.2513038991523641,248
9,1.8157155803571428,1.8155200892857142,0.00790094886475834,2.8071814047241554,0.00790094886475834,2.807181404723156,0.0,9.99644811372491e-13,5,1.8174751,9.939011721783666,9,2.557935,0.0,9,2.675015475,0.0,9,2.831408432142857,0.25192751079478026,249
10,1.8155200892857142,1.8153245982142856,0.006482352889306098,2.8062493739895125,0.006482352889305876,2.806249373988668,2.220446049250313e-16,8.446576771348191e-13,5,1.8174751,9.575327037577903,10,2.557935,0.0,10,2.675015475,0.0,10,2.831408432142857,0.2526066277374633,250
11,1.8153245982142856,1.815129107142857,0.005121896925045055,2.805376652931918,0.005121896925045055,2.805376652931958,0.0,3.9968028886505635e-14,5,1.8174751,9.258598357373456,11,2.557935,0.0,11,2.675015475,0.0,11,2.831408432142857,0.253248685281414,251
12,1.815129107142857,1.8149336160714284,0.003814616041576846,2.804488160609935,0.003814616041576624,2.8044881606090426,2.220446049250313e-16,8.926193117986259e-13,5,1.8174751,8.958300726287112,12,2.557935,0.0,12,2.675015475,0.0,12,2.831408432142857,0.2539320225477422,252
13,1.8149336160714284,1.8147381249999999,0.0025561463002097273,2.8036247020827654,0.0025561463002099494,2.803624702083254,2.220446049250313e-16,4.884981308350689e-13,5,1.8174751,8.685225375211374,13,2.557935,0.0,13,2.675015475,0.0,13,2.831408432142857,0.25460704164163794,253
14,1.8147381249999999,1.8145426339285713,0.0013426995702205957,2.802747068106865,0.0013426995702208178,2.802747068106952,2.220446049250313e-16,8.704148513061227e-14,5,1.8174751,8.4252604322053,14,2.557935,0.0,14,2.675015475,0.0,14,2.831408432142857,0.2553153055623102,254
15,1.8145426339285713,1.8143471428571427,0.00017091415219350203,2.801897597864425,0.00017091415219350203,2.801897597864981,0.0,5.559996907322784e-13,5,1.8174751,8.18849763360312,15,2.557935,0.0,15,2.675015475,0.0,15,2.831408432142857,0.2560057025271994,255
16,1.8143471428571427,1.8141516517857141,0.003865933548770295,2.8005984052229564,0.003865933548770073,2.800598405222981,2.220446049250313e-16,2.4424906541753444e-14,5,1.8174751,8.45824143343439,16,2.557935,0.0,16,2.675015475,0.0,16,2.828280575,0.24804623715620955,240
